time,time_sim,age_sim,hour_sim,arm_selected,reward
2024-01-20 23:08:31,2024-01-21 19:00:08,103,19,option2,0
2024-01-20 23:08:32,2024-01-21 17:00:20,40,17,option3,1
2024-01-20 23:08:33,2024-01-22 06:00:37,113,6,option3,1
2024-01-20 23:08:33,2024-01-21 23:00:37,97,23,option2,0
2024-01-20 23:08:34,2024-01-21 21:00:14,68,21,option1,0
2024-01-20 23:08:34,2024-01-22 03:00:18,1,3,option2,0
2024-01-20 23:08:35,2024-01-22 14:00:36,100,14,option3,0
2024-01-20 23:08:35,2024-01-21 02:00:27,17,2,option2,0
2024-01-20 23:08:36,2024-01-21 07:00:19,49,7,option1,0
2024-01-20 23:08:36,2024-01-22 09:00:21,22,9,option1,0
2024-01-20 23:08:37,2024-01-22 05:00:43,13,5,option1,0
2024-01-20 23:08:37,2024-01-22 04:00:00,34,4,option1,0
2024-01-20 23:08:38,2024-01-22 01:00:02,64,1,option1,0
2024-01-20 23:08:39,2024-01-22 01:00:29,113,1,option3,1
2024-01-20 23:08:40,2024-01-21 17:00:51,17,17,option2,1
2024-01-20 23:08:40,2024-01-21 12:00:30,105,12,option2,0
2024-01-20 23:08:41,2024-01-21 23:00:26,62,23,option2,0
2024-01-20 23:08:41,2024-01-21 17:00:18,109,17,option3,1
2024-01-20 23:08:42,2024-01-21 21:00:27,63,21,option3,1
2024-01-20 23:08:43,2024-01-21 07:00:29,35,7,option3,1
2024-01-20 23:08:43,2024-01-22 09:00:33,101,9,option1,0
2024-01-20 23:08:44,2024-01-22 14:00:01,8,14,option3,0
2024-01-20 23:08:45,2024-01-22 07:00:23,21,7,option3,0
2024-01-20 23:08:45,2024-01-22 07:00:53,63,7,option2,0
2024-01-20 23:08:46,2024-01-22 11:00:54,39,11,option3,1
2024-01-20 23:08:46,2024-01-22 11:00:09,97,11,option3,1
2024-01-20 23:08:47,2024-01-21 23:00:53,69,23,option3,1
2024-01-20 23:08:47,2024-01-21 22:00:02,0,22,option3,0
2024-01-20 23:08:48,2024-01-22 02:00:11,39,2,option3,1
2024-01-20 23:08:48,2024-01-22 22:00:10,39,22,option1,1
2024-01-20 23:08:49,2024-01-22 03:00:27,114,3,option3,1
2024-01-20 23:08:49,2024-01-22 10:00:13,26,10,option3,1
2024-01-20 23:08:49,2024-01-22 02:00:17,112,2,option3,1
2024-01-20 23:08:50,2024-01-21 08:00:41,75,8,option3,0
2024-01-20 23:08:50,2024-01-22 16:00:10,55,16,option3,1
2024-01-20 23:08:51,2024-01-21 07:00:06,99,7,option1,0
2024-01-20 23:08:52,2024-01-22 18:00:11,7,18,option1,1
2024-01-20 23:08:52,2024-01-21 09:00:01,97,9,option1,0
2024-01-20 23:08:53,2024-01-22 01:00:44,16,1,option1,1
2024-01-20 23:08:53,2024-01-22 10:00:18,109,10,option2,0
2024-01-20 23:08:54,2024-01-21 23:00:49,3,23,option1,0
2024-01-20 23:08:54,2024-01-21 15:00:35,92,15,option3,1
2024-01-20 23:08:55,2024-01-22 00:00:53,11,0,option3,0
2024-01-20 23:08:55,2024-01-22 10:00:29,33,10,option3,1
2024-01-20 23:08:55,2024-01-22 09:00:05,25,9,option1,0
2024-01-20 23:08:56,2024-01-21 06:00:06,68,6,option1,0
2024-01-20 23:08:57,2024-01-21 14:00:47,55,14,option1,0
2024-01-20 23:08:57,2024-01-22 04:00:41,50,4,option1,0
2024-01-20 23:08:58,2024-01-21 20:00:44,100,20,option1,0
2024-01-20 23:08:58,2024-01-21 15:00:31,65,15,option1,0
2024-01-20 23:08:59,2024-01-21 23:00:06,99,23,option3,0
2024-01-20 23:08:59,2024-01-22 07:00:14,66,7,option2,0
2024-01-20 23:09:00,2024-01-21 12:00:30,96,12,option2,0
2024-01-20 23:09:00,2024-01-22 07:00:45,20,7,option1,0
2024-01-20 23:09:01,2024-01-21 17:00:47,66,17,option3,1
2024-01-20 23:09:01,2024-01-21 19:00:38,115,19,option3,1
2024-01-20 23:09:02,2024-01-21 16:00:42,46,16,option3,1
2024-01-20 23:09:03,2024-01-21 17:00:11,67,17,option3,1
2024-01-20 23:09:03,2024-01-21 19:00:00,1,19,option1,0
2024-01-20 23:09:04,2024-01-22 13:00:56,108,13,option2,0
2024-01-20 23:09:04,2024-01-21 17:00:13,4,17,option3,0
2024-01-20 23:09:05,2024-01-22 14:00:55,5,14,option3,1
2024-01-20 23:09:05,2024-01-21 13:00:05,81,13,option3,0
2024-01-20 23:09:06,2024-01-21 06:00:08,114,6,option2,0
2024-01-20 23:09:07,2024-01-21 17:00:38,20,17,option2,0
2024-01-20 23:09:07,2024-01-22 08:00:43,11,8,option1,1
2024-01-20 23:09:08,2024-01-22 02:00:17,111,2,option3,1
2024-01-20 23:09:09,2024-01-21 06:00:42,27,6,option1,0
2024-01-20 23:09:09,2024-01-21 20:00:50,15,20,option1,0
2024-01-20 23:09:10,2024-01-22 07:00:26,85,7,option3,0
2024-01-20 23:09:10,2024-01-22 00:00:46,85,0,option3,1
2024-01-20 23:09:11,2024-01-22 00:00:58,60,0,option3,1
2024-01-20 23:09:11,2024-01-21 18:00:50,82,18,option3,1
2024-01-20 23:09:12,2024-01-21 21:00:46,39,21,option1,0
2024-01-20 23:09:12,2024-01-22 08:00:06,15,8,option1,0
2024-01-20 23:09:13,2024-01-21 22:00:09,45,22,option3,1
2024-01-20 23:09:13,2024-01-21 22:00:57,82,22,option1,0
2024-01-20 23:09:14,2024-01-21 13:00:16,32,13,option3,1
2024-01-20 23:09:14,2024-01-21 18:00:19,63,18,option3,0
2024-01-20 23:09:15,2024-01-21 10:00:16,102,10,option1,0
2024-01-20 23:09:15,2024-01-22 00:00:32,108,0,option3,1
2024-01-20 23:09:16,2024-01-21 11:00:27,1,11,option3,0
2024-01-20 23:09:16,2024-01-21 16:00:20,83,16,option3,1
2024-01-20 23:09:17,2024-01-21 14:00:31,90,14,option2,0
2024-01-20 23:09:18,2024-01-21 08:00:58,3,8,option2,0
2024-01-20 23:09:18,2024-01-22 04:00:59,96,4,option3,1
2024-01-20 23:09:19,2024-01-22 04:00:10,10,4,option1,0
2024-01-20 23:09:20,2024-01-21 18:00:05,116,18,option1,0
2024-01-20 23:09:20,2024-01-22 01:00:15,37,1,option3,1
2024-01-20 23:09:21,2024-01-21 14:00:44,66,14,option1,0
2024-01-20 23:09:21,2024-01-22 14:00:01,5,14,option1,1
2024-01-20 23:09:22,2024-01-22 03:00:44,0,3,option1,1
2024-01-20 23:09:23,2024-01-21 17:00:59,89,17,option3,1
2024-01-20 23:09:23,2024-01-21 13:00:25,47,13,option3,1
2024-01-20 23:09:24,2024-01-21 20:00:02,0,20,option1,1
2024-01-20 23:09:24,2024-01-22 00:00:20,47,0,option3,1
2024-01-20 23:09:25,2024-01-21 11:00:34,50,11,option3,1
2024-01-20 23:09:26,2024-01-22 03:00:29,62,3,option1,0
2024-01-20 23:09:26,2024-01-22 02:00:15,9,2,option1,1
2024-01-20 23:09:27,2024-01-21 04:00:21,96,4,option3,1
2024-01-20 23:09:28,2024-01-21 20:00:58,112,20,option1,0
2024-01-20 23:09:29,2024-01-21 07:00:28,66,7,option3,1
2024-01-20 23:09:29,2024-01-21 09:00:14,109,9,option2,0
2024-01-20 23:09:30,2024-01-22 03:00:36,88,3,option2,0
2024-01-20 23:09:30,2024-01-21 09:00:44,76,9,option3,0
2024-01-20 23:09:31,2024-01-22 02:00:20,18,2,option2,0
2024-01-20 23:09:32,2024-01-22 12:00:02,20,12,option3,0
2024-01-20 23:09:32,2024-01-21 03:00:27,31,3,option2,0
2024-01-20 23:09:33,2024-01-22 04:00:44,100,4,option3,1
2024-01-20 23:09:33,2024-01-22 06:00:02,71,6,option3,1
2024-01-20 23:09:34,2024-01-22 06:00:26,74,6,option3,1
2024-01-20 23:09:34,2024-01-22 01:00:45,112,1,option3,1
2024-01-20 23:09:35,2024-01-22 02:00:32,67,2,option3,1
2024-01-20 23:09:35,2024-01-21 04:00:10,38,4,option3,1
2024-01-20 23:09:36,2024-01-21 12:00:25,97,12,option2,0
2024-01-20 23:09:36,2024-01-21 04:00:58,95,4,option2,0
2024-01-20 23:09:37,2024-01-22 07:00:33,104,7,option3,0
2024-01-20 23:09:37,2024-01-22 13:00:45,44,13,option1,0
2024-01-20 23:09:38,2024-01-22 06:00:37,0,6,option1,1
2024-01-20 23:09:38,2024-01-21 16:00:47,24,16,option3,0
2024-01-20 23:09:39,2024-01-21 19:00:58,95,19,option2,0
2024-01-20 23:09:40,2024-01-21 10:00:07,58,10,option3,1
2024-01-20 23:09:40,2024-01-21 15:00:43,24,15,option3,0
2024-01-20 23:09:41,2024-01-21 15:00:24,67,15,option3,1
2024-01-20 23:09:41,2024-01-22 12:00:27,70,12,option3,1
2024-01-20 23:09:42,2024-01-21 17:00:00,20,17,option1,0
2024-01-20 23:09:42,2024-01-21 11:00:35,75,11,option3,1
2024-01-20 23:09:43,2024-01-21 21:00:45,51,21,option3,1
2024-01-20 23:09:43,2024-01-21 12:00:14,65,12,option3,1
2024-01-20 23:09:44,2024-01-21 23:00:43,72,23,option3,1
2024-01-20 23:09:45,2024-01-22 12:00:40,34,12,option1,0
2024-01-20 23:09:46,2024-01-21 16:00:12,82,16,option3,1
2024-01-20 23:09:46,2024-01-21 22:00:09,45,22,option3,1
2024-01-20 23:09:47,2024-01-22 14:00:25,96,14,option3,0
2024-01-20 23:09:47,2024-01-22 06:00:04,37,6,option3,1
2024-01-20 23:09:48,2024-01-22 12:00:21,104,12,option1,0
2024-01-20 23:09:48,2024-01-21 22:00:19,103,22,option2,0
2024-01-20 23:09:49,2024-01-21 23:00:38,9,23,option1,1
2024-01-20 23:09:49,2024-01-22 18:00:05,112,18,option3,1
2024-01-20 23:09:50,2024-01-22 07:00:30,20,7,option1,0
2024-01-20 23:09:50,2024-01-21 15:00:32,73,15,option2,1
